company,pct,company,pct,company,pct,company
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,9.9,苏州境成高锦股权投资企业（有限合伙）,8.35,苏州天绿生物制药有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,9.9,苏州境成高锦股权投资企业（有限合伙）,8.35,山东天绿制药有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,9.9,苏州境成高锦股权投资企业（有限合伙）,10.37,图方便（上海）环保科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,9.9,苏州境成高锦股权投资企业（有限合伙）,14.81,图方便（苏州）环保科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,9.9,苏州境成高锦股权投资企业（有限合伙）,19,北京云玺技术有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,9.9,苏州境成高锦股权投资企业（有限合伙）,31.25,苏州课得乐教育科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,9.9,苏州境成高锦股权投资企业（有限合伙）,45,迪康倍（苏州）生物医药科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,9.9,苏州境成高锦股权投资企业（有限合伙）,45,迪康艾（苏州）生物医药科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,9.9,苏州境成高锦股权投资企业（有限合伙）,45,帝诺源（苏州）生物医药科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,9.9,苏州境成高锦股权投资企业（有限合伙）,45,奥斯威（苏州）生物医药科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,9.9,苏州境成高锦股权投资企业（有限合伙）,45,依莫斯（苏州）生物医药科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,9.9,苏州境成高锦股权投资企业（有限合伙）,14.81,上海鸡鸣生态科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,16.5,苏州工业园区原点种子创业投资企业（有限合伙）,12.5,江苏汉生成科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,16.5,苏州工业园区原点种子创业投资企业（有限合伙）,12.5,昆山汉升达传动科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,16.5,苏州工业园区原点种子创业投资企业（有限合伙）,6.03,苏州华明道康生物医药有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,16.5,苏州工业园区原点种子创业投资企业（有限合伙）,26.82,苏州亲为药业有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,16.5,苏州工业园区原点种子创业投资企业（有限合伙）,99.8,上海则橙企业管理合伙企业（有限合伙）
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,16.5,苏州工业园区原点种子创业投资企业（有限合伙）,12.5,苏州悍猛传动科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,16.5,苏州工业园区原点种子创业投资企业（有限合伙）,12.5,扬州运顺智能科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,南通衡惠华慈健康管理有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,兴化市睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,17.86,南通通州睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,南通诺一健康管理有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,19.14,溧阳睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,天台睛明眼科专科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,鹰潭睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,池州睛明眼科医院有限公司
