company,tag,listing,pct,company,tag,listing,pct,company,tag,listing,pct,company,tag,listing
国科控股有限公司,存续 曾用名 小微企业 港股(正常上市),1
金科地产集团股份有限公司,存续 曾用名 定向增发 A股(正常上市),1
荣盛房地产发展股份有限公司,存续 A股(正常上市),1
江西正邦科技股份有限公司,存续 高新技术企业 企业技术中心 定向增发 A股(正常上市),1
新凤祥财务有限公司,存续 小微企业,0
苏宁易购集团股份有限公司苏宁采购中心,存续 曾用名 小微企业,0
江苏中南建筑产业集团有限责任公司,存续 曾用名,0
合肥建工集团有限公司,存续 曾用名 高新技术企业 企业技术中心,0
